iter	Passed	Remaining
877	1404	195
878	1406	193
879	1407	191
880	1410	190
881	1412	188
882	1413	187
883	1415	185
884	1416	184
885	1418	182
886	1419	180
887	1421	179
888	1423	177
889	1425	176
890	1426	174
891	1428	172
892	1430	171
893	1431	169
894	1433	168
895	1434	166
896	1437	165
897	1438	163
898	1440	161
899	1441	160
900	1442	158
901	1444	156
902	1445	155
903	1447	153
904	1448	152
905	1450	150
906	1452	148
907	1454	147
908	1455	145
909	1456	144
910	1458	142
911	1459	140
912	1461	139
913	1462	137
914	1464	136
915	1465	134
916	1467	132
917	1468	131
918	1469	129
919	1471	127
920	1472	126
921	1474	124
922	1475	123
923	1477	121
924	1478	119
925	1480	118
926	1482	116
927	1483	115
928	1485	113
929	1487	111
930	1488	110
931	1490	108
932	1491	107
933	1493	105
934	1494	103
935	1495	102
936	1497	100
937	1507	99
938	1509	98
939	1510	96
940	1512	94
941	1513	93
942	1515	91
943	1516	89
944	1518	88
945	1519	86
946	1521	85
947	1523	83
948	1524	81
949	1526	80
950	1527	78
951	1529	77
952	1531	75
953	1532	73
954	1533	72
955	1535	70
956	1536	69
957	1538	67
958	1540	65
959	1541	64
960	1543	62
961	1545	61
962	1546	59
963	1547	57
964	1549	56
965	1550	54
966	1552	52
967	1553	51
968	1554	49
969	1556	48
970	1557	46
971	1559	44
972	1561	43
973	1562	41
974	1564	40
975	1565	38
976	1568	36
977	1569	35
978	1570	33
979	1573	32
980	1574	30
981	1576	28
982	1577	27
983	1579	25
984	1580	24
985	1582	22
986	1583	20
987	1585	19
988	1586	17
989	1588	16
990	1590	14
991	1592	12
992	1593	11
993	1595	9
994	1597	8
995	1598	6
996	1600	4
997	1601	3
998	1603	1
999	1605	0
